species,tl,w,segment
BKT,40,0.5,Down
BKT,47,0.9,Down
BKT,55,1.6,Down
BKT,75,6,Down
BKT,82,5.4,Down
BKT,97,14.3,Down
BKT,105,18,Down
BKT,106,14.5,Down
BKT,114,14.7,Down
BKT,171,52.2,Down
SLS,89,8,Down
BKT,90,7.4,Up
BKT,102,8.6,Up
BKT,107,11.5,Up
BKT,126,20.7,Up
BKT,140,28.8,Up
SLS,47,1.1,Up
SLS,49,1.6,Up
SLS,50,1.3,Up
SLS,55,1.7,Up
SLS,60,2.3,Up
SLS,62,2.8,Up
SLS,66,2.4,Up
SLS,67,3.1,Up
SLS,74,5.2,Up
