species,date,geartype,sex,inches,grams,age,agestruct
BG,4/28/1999,BOOM SHOCKER,NA,1.7,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.7,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.7,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.8,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.8,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,1.9,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,0,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,3,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2,3,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2,NA,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,0,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/15/1999,BOOM SHOCKER,NA,2.1,1,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
BG,4/28/1999,BOOM SHOCKER,NA,2.1,2,NA,NA
